Month,Qo,P,E
1990-01-01,9.07,52.79,10.44
1990-02-01,19.99,106.52,18.42
1990-03-01,16.29,16.67,44.05
1990-04-01,7.37,60.44,72.97
1990-05-01,6.64,34.25,100.41
1990-06-01,5.62,90.44,114.86
1990-07-01,6.95,38.61,125.19
1990-08-01,5.59,54.99,103.16
1990-09-01,6.18,50.85,67.37
1990-10-01,8.24,94.71,31.8
1990-11-01,17.63,77.96,13.07
1990-12-01,19.44,93.35,9.42
1991-01-01,46.36,70.02,10.44
1991-02-01,13.9,28.17,18.42
1991-03-01,18.7,54.96,44.05
1991-04-01,9.98,43.16,72.97
1991-05-01,7.2,16.8,100.41
1991-06-01,5.91,75.27,114.86
1991-07-01,5.92,57.19,125.19
1991-08-01,5.55,29.06,103.16
1991-09-01,5.13,72.96,67.37
1991-10-01,7.42,50.2,31.8
1991-11-01,12.13,89.78,13.07
1991-12-01,12.66,55.23,9.42
1992-01-01,8.9,13.74,10.44
1992-02-01,9.98,46.3,19.4
1992-03-01,11.98,73.18,44.05
1992-04-01,15.96,46.4,72.97
1992-05-01,6.71,48.99,100.41
1992-06-01,6.17,67.16,114.86
1992-07-01,6.28,62.05,125.19
1992-08-01,5.52,82.35,103.16
1992-09-01,6.81,42.61,67.37
1992-10-01,9.01,94.97,31.8
1992-11-01,25.86,125.26,13.07
1992-12-01,31.77,54.95,9.42
1993-01-01,21.3,74.97,10.44
1993-02-01,15.61,15.9,18.42
1993-03-01,8.62,10.36,44.05
1993-04-01,9.11,80.82,72.97
1993-05-01,7.93,66.73,100.41
1993-06-01,6.96,76.12,114.86
1993-07-01,7.1,64.87,125.19
1993-08-01,5.43,24.97,103.16
1993-09-01,9.19,141.04,67.37
1993-10-01,25.95,104.61,31.8
1993-11-01,13.73,28.2,13.07
1993-12-01,32.74,151.97,9.42
1994-01-01,66.93,106.53,10.44
1994-02-01,45.49,78.77,18.42
1994-03-01,32.51,60.37,44.05
1994-04-01,34.81,82.65,72.97
1994-05-01,17.33,81.59,100.41
1994-06-01,14.72,67.84,114.86
1994-07-01,9.31,70.19,125.19
1994-08-01,9.49,60.56,103.16
1994-09-01,13.44,102.27,67.37
1994-10-01,13.28,64.31,31.8
1994-11-01,15.14,54.59,13.07
1994-12-01,17.82,92.02,9.42
1995-01-01,48.42,145.16,10.44
1995-02-01,55.79,93.99,18.42
1995-03-01,53.72,109.48,44.05
1995-04-01,37.25,83.68,72.97
1995-05-01,34.84,81.83,100.41
1995-06-01,15.06,33.15,114.86
1995-07-01,10.46,65.78,125.19
1995-08-01,8.3,48.78,103.16
1995-09-01,10.62,100.7,67.37
1995-10-01,13.28,47.47,31.8
1995-11-01,10.69,35.79,13.07
1995-12-01,12.3,61.35,9.42
1996-01-01,16.91,48.43,10.44
1996-02-01,20.13,69.42,19.4
1996-03-01,14.65,13.59,44.05
1996-04-01,8.11,12.44,72.97
1996-05-01,7.67,90.88,100.41
1996-06-01,6.03,18.56,114.86
1996-07-01,5.55,39.9,125.19
1996-08-01,5.88,85.39,103.16
1996-09-01,5.65,34.93,67.37
1996-10-01,7.2,63.05,31.8
1996-11-01,21.15,168.22,13.07
1996-12-01,36.56,50.77,9.42
1997-01-01,14.07,16.3,10.44
1997-02-01,19.25,99.54,18.42
1997-03-01,28.36,18.18,44.05
1997-04-01,9.16,25.97,72.97
1997-05-01,9.63,94.15,100.41
1997-06-01,7.65,131.61,114.86
1997-07-01,12.37,55.53,125.19
1997-08-01,9.01,76.2,103.16
1997-09-01,9.6,27.51,67.37
1997-10-01,9.11,54.02,31.8
1997-11-01,14.37,104.12,13.07
1997-12-01,29.38,95.38,9.42
1998-01-01,37.84,83.24,10.44
1998-02-01,14.78,14.6,18.42
1998-03-01,12.05,32.47,44.05
1998-04-01,33.06,161.19,72.97
1998-05-01,28.3,31.44,100.41
1998-06-01,8.56,55.54,114.86
1998-07-01,6.46,41.48,125.19
1998-08-01,5.55,31.27,103.16
1998-09-01,7.65,102.84,67.37
1998-10-01,12.9,159.77,31.8
1998-11-01,27.38,49.75,13.07
1998-12-01,22.82,54.83,9.42
1999-01-01,27.97,79.62,10.44
1999-02-01,40.5,85.51,18.42
1999-03-01,58.54,82.44,44.05
1999-04-01,30.92,86.12,72.97
1999-05-01,17.67,65.42,100.41
1999-06-01,9.84,65.3,114.86
1999-07-01,9.18,60.79,125.19
1999-08-01,7.71,57.87,103.16
1999-09-01,8.14,124.59,67.37
1999-10-01,14.73,52.69,31.8
1999-11-01,11.37,52.29,13.07
1999-12-01,41.29,184.62,9.42
2000-01-01,48.41,37.24,10.44
2000-02-01,42.63,98.75,19.4
2000-03-01,35.46,51.27,44.05
2000-04-01,23.96,84.27,72.97
2000-05-01,16.93,84.68,100.41
2000-06-01,13.03,42.53,114.86
2000-07-01,17.05,162.44,125.19
2000-08-01,16.7,50.25,103.16
2000-09-01,12.75,75.22,67.37
2000-10-01,21.11,104.56,31.8
2000-11-01,34.66,122.52,13.07
2000-12-01,38.5,73.0,9.42
2001-01-01,37.95,81.6,10.44
2001-02-01,33.38,52.34,18.42
2001-03-01,60.05,151.49,44.05
2001-04-01,60.3,122.7,72.97
2001-05-01,48.96,57.42,100.41
2001-06-01,14.45,49.77,114.86
2001-07-01,17.7,137.34,125.19
2001-08-01,13.53,72.71,103.16
2001-09-01,16.27,110.6,67.37
2001-10-01,24.92,87.78,31.8
2001-11-01,19.55,80.7,13.07
2001-12-01,31.61,65.34,9.42
